target	source	label
property(X,increase,unprotected_sexual_encounters,n6_months)	receive(X,safer_skills_building)	CTN-0019
property(X,increase,unprotected_sexual_encounters,n6_months)	receive(X,hiv_ed)	CTN-0019

property(X,obtain,new_taxed_job)	property(X,use,Y)	CTN-0020
property(X,obtain,new_taxed_job)	substance(Y)	CTN-0020
property(X,obtain,new_taxed_job)	receive(X,methadone)	CTN-0020
property(X,obtain,new_taxed_job)	receive(X,outpatient_psychosocial_treatment)	CTN-0020
property(X,obtain,new_taxed_job)	receive(X,job_seekers_workshop)	CTN-0020
property(X,obtain,new_taxed_job)	receive(X,standard_care)	CTN-0020

use(X,substance)	property(X,ethnicity,hispanic)	CTN-0021
use(X,substance)	property(X,use,Y)	CTN-0021
use(X,substance)	substance(Y)	CTN-0021
use(X,substance)	receive(X,motivational_enhancement_therapy)	CTN-0021
use(X,substance)	receive(X,counseling_as_usual)	CTN-0021

property(X,develop,drug_induced_hepatitis)	property(X,dependent,opioids)	CTN-0027
property(X,develop,drug_induced_hepatitis)	property(X,use,buprenorphine_naloxone)	CTN-0027
property(X,develop,drug_induced_hepatitis)	property(X,use,methadone)	CTN-0027

property(X,decrease,substance_use)	property(X,diagnosis,adhd)	CTN-0028
property(X,decrease,substance_use)	property(X,diagnosis,sud)	CTN-0028
property(X,decrease,substance_use)	property(X,age,adolescent)	CTN-0028
property(X,decrease,substance_use)	receive(X,cognitive_behavioral_therapy)	CTN-0028
property(X,decrease,substance_use)	receive(X,methylphenidate)	CTN-0028

property(X,reduce,nicotine_use) property(X,diagnosis,adhd) CTN-0029
property(X,reduce,nicotine_use)	property(X,use,nicotine)	CTN-0029
property(X,reduce,nicotine_use)	property(X,location,outpatient)	CTN-0029
property(X,reduce,nicotine_use)	property(X,desire,quit_smoking)	CTN-0029
property(X,reduce,nicotine_use)	receive(X,methylphenidate)	CTN-0029
property(X,reduce,nicotine_use)	receive(X,individual_smoking_cessation)	CTN-0029

property(X,use,prescription_opioids,n2_weeks)	property(X,complete,naloxone_stabilization)	CTN-0030
property(X,complete,naloxone_stabilization)	property(X,location,outpatient)	CTN-0030
property(X,complete,naloxone_stabilization)	property(X,dependence,opioids)	CTN-0030
property(X,complete,naloxone_stabilization)	receive(X,counseling)	CTN-0030
property(X,complete,naloxone_stabilization)	\+property(X,complete,taper)	CTN-0030
property(X,complete,naloxone_stabilization)	\+property(X,complete,post_medication_follow_up)	CTN-0030

property(X,use,prescription_opioids,n8_weeks)	property(X,complete,naloxone_stabilization)	CTN-0030
property(X,use,prescription_opioids,n8_weeks)	receive(X,counseling)	CTN-0030
property(X,use,prescription_opioids,n8_weeks)	property(X,location,outpatient)	CTN-0030
property(X,use,prescription_opioids,n8_weeks)	property(X,dependence,opioids)	CTN-0030
property(X,use,prescription_opioids,n8_weeks)	property(X,complete,taper)	CTN-0030
property(X,use,prescription_opioids,n8_weeks)	\+property(X,complete,post_medication_follow_up)	CTN-0030

property(X,use,prescription_opioids,n20_weeks)	property(X,complete,naloxone_stabilization)	CTN-0030
property(X,use,prescription_opioids,n20_weeks)	receive(X,counseling)	CTN-0030
property(X,use,prescription_opioids,n20_weeks)	property(X,location,outpatient)	CTN-0030
property(X,use,prescription_opioids,n20_weeks)	property(X,dependence,opioids)	CTN-0030
property(X,use,prescription_opioids,n20_weeks)	property(X,complete,taper)	CTN-0030
property(X,use,prescription_opioids,n20_weeks)	property(X,complete,post_medication_follow_up)	CTN-0030

property(X,decrease,unprotected_sexual_encounters)	receive(X,off_site_hiv_testing)	CTN-0032
property(X,decrease,unprotected_sexual_encounters)	receive(X,treatment_as_usual)	CTN-0032
property(X,decrease,unprotected_sexual_encounters)	receive(X,hiv_risk_reduction_counseling)	CTN-0032
property(X,decrease,unprotected_sexual_encounters)	receive(X,on_site_hiv_testing)	CTN-0032

receive(X,hiv_test_results)	receive(X,off_site_hiv_testing)	CTN-0032
property(X,decrease,unprotected_sexual_encounters)	receive(X,treatment_as_usual)	CTN-0032
property(X,decrease,unprotected_sexual_encounters)	receive(X,hiv_risk_reduction_counseling)	CTN-0032
property(X,decrease,unprotected_sexual_encounters)	receive(X,on_site_hiv_testing)	CTN-0032


property(X,diagnosis,chronic_HCV_infection)	property(X,ethnicity,black)	CTN-0035
property(X,diagnosis,chronic_HCV_infection)	property(X,ethnicity,latinx)	CTN-0035
property(X,diagnosis,chronic_HCV_infection)	property(X,use,Y)	CTN-0035
property(X,diagnosis,chronic_HCV_infection)	illicit_drug(Y)	CTN-0035

property(X,diagnosis,acute_HCV_infection)	property(X,ethnicity,black)	CTN-0035
property(X,diagnosis,acute_HCV_infection)	property(X,ethnicity,latinx)	CTN-0035
property(X,diagnosis,acute_HCV_infection)	property(X,use,Y)	CTN-0035
property(X,diagnosis,acute_HCV_infection)	illicit_drug(Y)	CTN-0035

property(X,understand_importance_of,HCV_testing)	property(X,ethnicity,black)	CTN-0035
property(X,understand_importance_of,HCV_testing)	property(X,ethnicity,latinx)	CTN-0035
property(X,understand_importance_of,HCV_testing)	property(X,use,Y)	CTN-0035
property(X,understand_importance_of,HCV_testing)	illicit_drug(Y)	CTN-0035
property(X,understand_importance_of,HCV_testing)	lack(X,symptoms)	CTN-0035
property(X,understand_importance_of,HCV_testing)	use(X,illicit_drugs) CTN-0035

receive(X,HCV_testing)	property(X,ethnicity,black);property(X,ethnicity,latinx)	CTN-0035
receive(X,HCV_testing)	property(X,diagnosis,HCV)	CTN-0035
receive(X,HCV_testing)	property(X,use,Y)	CTN-0035
receive(X,HCV_testing)	illicit_drug(Y)	CTN-0035
receive(X,HCV_testing)	property(X,mistrust,health_care_providers)	CTN-0035

property(X,use,Y,during_treatment)	property(X,location,outpatient)	CTN-0044
property(X,use,Y,during_treatment)	substance(Y)	CTN-0044
property(X,use,Y,during_treatment)	receive(X,computer_modules)	CTN-0044
property(X,use,Y,during_treatment)	property(X,use,Y)	CTN-0044
property(X,use,Y,during_treatment)	receive(X,treatment_as_usual)	CTN-0044


property(X,use,alcohol,during_treatment)	property(X,location,outpatient)	CTN-0044
property(X,use,alcohol,during_treatment)	substance(Y)	CTN-0044
property(X,use,alcohol,during_treatment)	receive(X,computer_modules)	CTN-0044
property(X,use,alcohol,during_treatment)	property(X,use,Y)	CTN-0044
property(X,use,alcohol,during_treatment)	receive(X,treatment_as_usual)	CTN-0044

property(X,use,alcohol,after_treatment)	property(X,location,outpatient)	CTN-0044
property(X,use,alcohol,after_treatment)	substance(Y)	CTN-0044
property(X,use,alcohol,after_treatment)	receive(X,computer_modules)	CTN-0044
property(X,use,alcohol,after_treatment)	property(X,use,Y)	CTN-0044
property(X,use,alcohol,after_treatment)	receive(X,treatment_as_usual)	CTN-0044

property(X,urine_sample,Y,negative,just_after_treatment)	stimulant(Y)	CTN-0046
property(X,urine_sample,Y,negative,just_after_treatment)	property(X,dependence,cocaine) CTN-0046
property(X,urine_sample,Y,negative,just_after_treatment)	property(X,dependence,methamphetamine) CTN-0046
property(X,urine_sample,Y,negative,just_after_treatment)	property(X,desire,quit_smoking)	CTN-0046
property(X,urine_sample,Y,negative,just_after_treatment)	receive(X,treatment_as_usual)	CTN-0046
property(X,urine_sample,Y,negative,just_after_treatment)	receive(X,bupropion)	CTN-0046

property(X,urine_sample,Y,negative,n3_weeks)	stimulant(Y)	CTN-0046
property(X,urine_sample,Y,negative,n3_weeks)	property(X,dependence,cocaine)	CTN-0046
property(X,urine_sample,Y,negative,n3_weeks)	property(X,dependence,methamphetamine)	CTN-0046
property(X,urine_sample,Y,negative,n3_weeks)	property(X,desire,quit_smoking)	CTN-0046
property(X,urine_sample,Y,negative,n3_weeks)	receive(X,treatment_as_usual)	CTN-0046

property(X,urine_sample,Y,negative,n6_weeks)	stimulant(Y)	CTN-0046
property(X,urine_sample,Y,negative,n6_weeks)	property(X,dependence,cocaine)	CTN-0046
property(X,urine_sample,Y,negative,n6_weeks)	property(X,dependence,methamphetamine)	CTN-0046
property(X,urine_sample,Y,negative,n6_weeks)	property(X,desire,quit_smoking)	CTN-0046
property(X,urine_sample,Y,negative,n6_weeks)	receive(X,treatment_as_usual)	CTN-0046


property(X,hair_sample,Y,negative)	substance(Y) CTN-0047
property(X,hair_sample,Y,negative)	property(X,dependence,Y)	CTN-0047
property(X,hair_sample,Y,negative)	receive(X,minimal_screening)	CTN-0047
property(X,hair_sample,Y,negative)	receive(X,minimal_screening)	CTN-0047
property(X,hair_sample,Y,negative)	receive(X,telephone_boosters) 	CTN-0047


property(X,urine_sample,cocaine,positive)	property(X,dependence,cocaine)	CTN-0052
property(X,urine_sample,cocaine,positive)	property(X,gender,male)	CTN-0052
property(X,urine_sample,cocaine,positive)	property(X,location,inpatient)	CTN-0052
property(X,urine_sample,cocaine,positive)	receive(X,buspirone)	CTN-0052
property(X,urine_sample,cocaine,positive)	receive(X,placebo)	CTN-0052
property(X,urine_sample,cocaine,positive)	property(X,gender,female)	CTN-0052


property(X,urine_sample,cannabinoids,positive)	property(X,dependence,cannabis) CTN-0053
property(X,urine_sample,cannabinoids,positive)	receive(X,contingency_management)	CTN-0053
property(X,urine_sample,cannabinoids,positive)	receive(X,n_acetylcysteine)	CTN-0053
property(X,urine_sample,cannabinoids,positive)	receive(X,medical_management)	CTN-0053

property(X,urine_sample,Y,negative)	stimulant(Y)	CTN-0054
property(X,urine_sample,Y,negative)	property(X,dependence,Z)	CTN-0054
property(X,urine_sample,Y,negative)	stimulant(Z)	CTN-0054
property(X,urine_sample,Y,negative)	receive(X,naltrexone)	CTN-0054
property(X,urine_sample,Y,negative)	receive(X,bupropion)	CTN-0054
property(X,urine_sample,Y,negative)	receive(X,medical_management)	CTN-0054

receive(X,treatment)	property(X,diagnosis,hiv_infection)	CTN-0055
receive(X,treatment)	property(X,diagnosis,sud)	CTN-0055
receive(X,treatment)	receive(X,buprenorphine)	CTN-0055
receive(X,treatment)	receive(X,treatment_as_usual)	CTN-0055

remain(X,in_treatment)	property(X,diagnosis,hiv_infection)	CTN-0055
remain(X,in_treatment)	property(X,diagnosis,sud)	CTN-0055
remain(X,in_treatment)	receive(X,buprenorphine)	CTN-0055
remain(X,in_treatment)	receive(X,treatment_as_usual)	CTN-0055

property(X,use,opioid)	property(X,diagnosis,hiv_infection)	CTN-0055
property(X,use,opioid)	property(X,diagnosis,sud)	CTN-0055
property(X,use,opioid)	receive(X,buprenorphine)	CTN-0055
property(X,use,opioid)	receive(X,treatment_as_usual)	CTN-0055

property(X,use,alcohol)	property(X,diagnosis,hiv_infection)	CTN-0055
property(X,use,alcohol)	property(X,diagnosis,sud)	CTN-0055
property(X,use,alcohol)	receive(X,buprenorphine)	CTN-0055
property(X,use,alcohol)	receive(X,treatment_as_usual)	CTN-0055
