"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"123.0","interacts with","property(X,location,outpatient) CTN-0006 (interacts with) property(X,abstinence,Y,n4_weeks)","false","interacts with","property(X,location,outpatient) CTN-0006 (interacts with) property(X,abstinence,Y,n4_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,abstinence,Y,n4_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,abstinence,Y,n4_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,abstinence,Y,n4_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,abstinence,Y,n4_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,abstinence,Y,n4_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,abstinence,Y,n4_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,abstinence,Y,n4_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,abstinence,Y,n4_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,abstinence,Y,n4_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,abstinence,Y,n4_weeks)"
"131.0","interacts with","stimulant(Y) (interacts with) property(X,abstinence,Y,n4_weeks)","false","interacts with","stimulant(Y) (interacts with) property(X,abstinence,Y,n4_weeks)"
"130.0","interacts with","opioid(A) (interacts with) property(X,abstinence,Y,n4_weeks)","false","interacts with","opioid(A) (interacts with) property(X,abstinence,Y,n4_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,abstinence,Y,n4_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,abstinence,Y,n4_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)"
"143.0","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)","false","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)"
"130.0","interacts with","opioid(A) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)","false","interacts with","opioid(A) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,Y,negative,n8_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)"
"143.0","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)","false","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)"
"130.0","interacts with","opioid(A) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)","false","interacts with","opioid(A) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,alcohol,negative,n8_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,abstinence,A,n8_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,abstinence,A,n8_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,abstinence,A,n8_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,abstinence,A,n8_weeks)"
"143.0","interacts with","property(X,dependence,Z) (interacts with) property(X,abstinence,A,n8_weeks)","false","interacts with","property(X,dependence,Z) (interacts with) property(X,abstinence,A,n8_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,abstinence,A,n8_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,abstinence,A,n8_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,abstinence,A,n8_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,abstinence,A,n8_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,abstinence,A,n8_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,abstinence,A,n8_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,abstinence,A,n8_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,abstinence,A,n8_weeks)"
"130.0","interacts with","opioid(A) (interacts with) property(X,abstinence,A,n8_weeks)","false","interacts with","opioid(A) (interacts with) property(X,abstinence,A,n8_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,abstinence,A,n8_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,abstinence,A,n8_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,abstinence,Y,n8_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,abstinence,Y,n8_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,abstinence,Y,n8_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,abstinence,Y,n8_weeks)"
"143.0","interacts with","property(X,dependence,Z) (interacts with) property(X,abstinence,Y,n8_weeks)","false","interacts with","property(X,dependence,Z) (interacts with) property(X,abstinence,Y,n8_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,abstinence,Y,n8_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,abstinence,Y,n8_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,abstinence,Y,n8_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,abstinence,Y,n8_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,abstinence,Y,n8_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,abstinence,Y,n8_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,abstinence,Y,n8_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,abstinence,Y,n8_weeks)"
"130.0","interacts with","opioid(A) (interacts with) property(X,abstinence,Y,n8_weeks)","false","interacts with","opioid(A) (interacts with) property(X,abstinence,Y,n8_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,abstinence,Y,n8_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,abstinence,Y,n8_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"143.0","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"130.0","interacts with","opioid(A) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","opioid(A) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"143.0","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"130.0","interacts with","opioid(A) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","opioid(A) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,abstinence,A,n12_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,abstinence,A,n12_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,abstinence,A,n12_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,abstinence,A,n12_weeks)"
"143.0","interacts with","property(X,dependence,Z) (interacts with) property(X,abstinence,A,n12_weeks)","false","interacts with","property(X,dependence,Z) (interacts with) property(X,abstinence,A,n12_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,abstinence,A,n12_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,abstinence,A,n12_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,abstinence,A,n12_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,abstinence,A,n12_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,abstinence,A,n12_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,abstinence,A,n12_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,abstinence,A,n12_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,abstinence,A,n12_weeks)"
"130.0","interacts with","opioid(A) (interacts with) property(X,abstinence,A,n12_weeks)","false","interacts with","opioid(A) (interacts with) property(X,abstinence,A,n12_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,abstinence,A,n12_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,abstinence,A,n12_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,abstinence,Y,n12_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,abstinence,Y,n12_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,abstinence,Y,n12_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,abstinence,Y,n12_weeks)"
"143.0","interacts with","property(X,dependence,Z) (interacts with) property(X,abstinence,Y,n12_weeks)","false","interacts with","property(X,dependence,Z) (interacts with) property(X,abstinence,Y,n12_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,abstinence,Y,n12_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,abstinence,Y,n12_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,abstinence,Y,n12_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,abstinence,Y,n12_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,abstinence,Y,n12_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,abstinence,Y,n12_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,abstinence,Y,n12_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,abstinence,Y,n12_weeks)"
"130.0","interacts with","opioid(A) (interacts with) property(X,abstinence,Y,n12_weeks)","false","interacts with","opioid(A) (interacts with) property(X,abstinence,Y,n12_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,abstinence,Y,n12_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,abstinence,Y,n12_weeks)"
"77.0","interacts with","receive(X,nicotine) (interacts with) property(X,use,nicotine,just_after_treatment)","false","interacts with","receive(X,nicotine) (interacts with) property(X,use,nicotine,just_after_treatment)"
"73.0","interacts with","property(X,use,nicotine) (interacts with) property(X,use,nicotine,just_after_treatment)","false","interacts with","property(X,use,nicotine) (interacts with) property(X,use,nicotine,just_after_treatment)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,use,nicotine,just_after_treatment)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,use,nicotine,just_after_treatment)"
"68.0","interacts with","property(X,dependence,alcohol) (interacts with) property(X,use,nicotine,just_after_treatment)","false","interacts with","property(X,dependence,alcohol) (interacts with) property(X,use,nicotine,just_after_treatment)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,use,nicotine,just_after_treatment)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,use,nicotine,just_after_treatment)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,use,nicotine,just_after_treatment)","false","interacts with","opioid(Y) (interacts with) property(X,use,nicotine,just_after_treatment)"
"77.0","interacts with","receive(X,nicotine) (interacts with) property(X,use,nicotine,n13_weeks)","false","interacts with","receive(X,nicotine) (interacts with) property(X,use,nicotine,n13_weeks)"
"73.0","interacts with","property(X,use,nicotine) (interacts with) property(X,use,nicotine,n13_weeks)","false","interacts with","property(X,use,nicotine) (interacts with) property(X,use,nicotine,n13_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,use,nicotine,n13_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,use,nicotine,n13_weeks)"
"68.0","interacts with","property(X,dependence,alcohol) (interacts with) property(X,use,nicotine,n13_weeks)","false","interacts with","property(X,dependence,alcohol) (interacts with) property(X,use,nicotine,n13_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,use,nicotine,n13_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,use,nicotine,n13_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,use,nicotine,n13_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,use,nicotine,n13_weeks)"
"77.0","interacts with","receive(X,nicotine) (interacts with) property(X,use,nicotine,n26_weeks)","false","interacts with","receive(X,nicotine) (interacts with) property(X,use,nicotine,n26_weeks)"
"73.0","interacts with","property(X,use,nicotine) (interacts with) property(X,use,nicotine,n26_weeks)","false","interacts with","property(X,use,nicotine) (interacts with) property(X,use,nicotine,n26_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,use,nicotine,n26_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,use,nicotine,n26_weeks)"
"68.0","interacts with","property(X,dependence,alcohol) (interacts with) property(X,use,nicotine,n26_weeks)","false","interacts with","property(X,dependence,alcohol) (interacts with) property(X,use,nicotine,n26_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,use,nicotine,n26_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,use,nicotine,n26_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,use,nicotine,n26_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,use,nicotine,n26_weeks)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,positive,n4_weeks)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,positive,n4_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,positive,n4_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,positive,n4_weeks)"
"54.0","interacts with","property(X,age,youth) (interacts with) property(X,urine_sample,opioids,positive,n4_weeks)","false","interacts with","property(X,age,youth) (interacts with) property(X,urine_sample,opioids,positive,n4_weeks)"
"91.0","interacts with","receive(X,buprenorphine_naloxone) (interacts with) property(X,urine_sample,opioids,positive,n4_weeks)","false","interacts with","receive(X,buprenorphine_naloxone) (interacts with) property(X,urine_sample,opioids,positive,n4_weeks)"
"52.0","interacts with","receive(X,detoxification) (interacts with) property(X,urine_sample,opioids,positive,n4_weeks)","false","interacts with","receive(X,detoxification) (interacts with) property(X,urine_sample,opioids,positive,n4_weeks)"
"76.0","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,positive,n4_weeks)","false","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,positive,n4_weeks)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,positive,n8_weeks)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,positive,n8_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,positive,n8_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,positive,n8_weeks)"
"54.0","interacts with","property(X,age,youth) (interacts with) property(X,urine_sample,opioids,positive,n8_weeks)","false","interacts with","property(X,age,youth) (interacts with) property(X,urine_sample,opioids,positive,n8_weeks)"
"91.0","interacts with","receive(X,buprenorphine_naloxone) (interacts with) property(X,urine_sample,opioids,positive,n8_weeks)","false","interacts with","receive(X,buprenorphine_naloxone) (interacts with) property(X,urine_sample,opioids,positive,n8_weeks)"
"52.0","interacts with","receive(X,detoxification) (interacts with) property(X,urine_sample,opioids,positive,n8_weeks)","false","interacts with","receive(X,detoxification) (interacts with) property(X,urine_sample,opioids,positive,n8_weeks)"
"76.0","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,positive,n8_weeks)","false","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,positive,n8_weeks)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,positive,n12_weeks)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,positive,n12_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,positive,n12_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,positive,n12_weeks)"
"54.0","interacts with","property(X,age,youth) (interacts with) property(X,urine_sample,opioids,positive,n12_weeks)","false","interacts with","property(X,age,youth) (interacts with) property(X,urine_sample,opioids,positive,n12_weeks)"
"91.0","interacts with","receive(X,buprenorphine_naloxone) (interacts with) property(X,urine_sample,opioids,positive,n12_weeks)","false","interacts with","receive(X,buprenorphine_naloxone) (interacts with) property(X,urine_sample,opioids,positive,n12_weeks)"
"52.0","interacts with","receive(X,detoxification) (interacts with) property(X,urine_sample,opioids,positive,n12_weeks)","false","interacts with","receive(X,detoxification) (interacts with) property(X,urine_sample,opioids,positive,n12_weeks)"
"76.0","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,positive,n12_weeks)","false","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,positive,n12_weeks)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) remain(X,in_treatment,n12_weeks)","false","interacts with","property(X,dependence,opioids) (interacts with) remain(X,in_treatment,n12_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) remain(X,in_treatment,n12_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) remain(X,in_treatment,n12_weeks)"
"54.0","interacts with","property(X,age,youth) (interacts with) remain(X,in_treatment,n12_weeks)","false","interacts with","property(X,age,youth) (interacts with) remain(X,in_treatment,n12_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) remain(X,in_treatment,n12_weeks)","false","interacts with","receive(X,counseling) (interacts with) remain(X,in_treatment,n12_weeks)"
"52.0","interacts with","receive(X,detoxification) (interacts with) remain(X,in_treatment,n12_weeks)","false","interacts with","receive(X,detoxification) (interacts with) remain(X,in_treatment,n12_weeks)"
"91.0","interacts with","receive(X,buprenorphine_naloxone) (interacts with) remain(X,in_treatment,n12_weeks)","false","interacts with","receive(X,buprenorphine_naloxone) (interacts with) remain(X,in_treatment,n12_weeks)"
"3.0","interacts with","receive(X,phone_call) (interacts with) participate(X,in_treatment)","false","interacts with","receive(X,phone_call) (interacts with) participate(X,in_treatment)"
"1.0","interacts with","\+receive(X,phone_call) (interacts with) participate(X,in_treatment)","false","interacts with","\+receive(X,phone_call) (interacts with) participate(X,in_treatment)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) remain(X,in_treatment,n1_month)","false","interacts with","property(X,dependence,Y) (interacts with) remain(X,in_treatment,n1_month)"
"34.0","interacts with","substance(Y) (interacts with) remain(X,in_treatment,n1_month)","false","interacts with","substance(Y) (interacts with) remain(X,in_treatment,n1_month)"
"25.0","interacts with","property(X,pregnancy,positive) (interacts with) remain(X,in_treatment,n1_month)","false","interacts with","property(X,pregnancy,positive) (interacts with) remain(X,in_treatment,n1_month)"
"24.0","interacts with","property(X,age,adolescent) (interacts with) property(X,urine_sample,opioids,positive,n1_year)","false","interacts with","property(X,age,adolescent) (interacts with) property(X,urine_sample,opioids,positive,n1_year)"
"20.0","interacts with","property(X,ethnicity,hispanic) (interacts with) property(X,urine_sample,opioids,positive,n1_year)","false","interacts with","property(X,ethnicity,hispanic) (interacts with) property(X,urine_sample,opioids,positive,n1_year)"
"18.0","interacts with","property(X,ethnicity,white) (interacts with) property(X,urine_sample,opioids,positive,n1_year)","false","interacts with","property(X,ethnicity,white) (interacts with) property(X,urine_sample,opioids,positive,n1_year)"
"16.0","interacts with","property(X,ethnicity,black) (interacts with) property(X,urine_sample,opioids,positive,n1_year)","false","interacts with","property(X,ethnicity,black) (interacts with) property(X,urine_sample,opioids,positive,n1_year)"
"14.0","interacts with","receive(X,treatment_as_usual) (interacts with) property(X,urine_sample,opioids,positive,n1_year)","false","interacts with","receive(X,treatment_as_usual) (interacts with) property(X,urine_sample,opioids,positive,n1_year)"
"11.0","interacts with","receive(X,beavioral_strategic_family_therapy) (interacts with) property(X,urine_sample,opioids,positive,n1_year)","false","interacts with","receive(X,beavioral_strategic_family_therapy) (interacts with) property(X,urine_sample,opioids,positive,n1_year)"
"8.0","interacts with","property(X,gender,female) (interacts with) property(X,substance_use,decrease)","false","interacts with","property(X,gender,female) (interacts with) property(X,substance_use,decrease)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,substance_use,decrease)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,substance_use,decrease)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,substance_use,decrease)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,substance_use,decrease)"
"168.0","interacts with","property(X,diagnosis,ptsd) (interacts with) property(X,substance_use,decrease)","false","interacts with","property(X,diagnosis,ptsd) (interacts with) property(X,substance_use,decrease)"
"34.0","interacts with","substance(Y) (interacts with) property(X,substance_use,decrease)","false","interacts with","substance(Y) (interacts with) property(X,substance_use,decrease)"
"166.0","interacts with","receive(X,womens_health_education) (interacts with) property(X,substance_use,decrease)","false","interacts with","receive(X,womens_health_education) (interacts with) property(X,substance_use,decrease)"
"164.0","interacts with","receive(X,seeking_safety) (interacts with) property(X,substance_use,decrease)","false","interacts with","receive(X,seeking_safety) (interacts with) property(X,substance_use,decrease)"
"162.0","interacts with","property(X,inject,Y) (interacts with) property(X,substance_use,decrease)","false","interacts with","property(X,inject,Y) (interacts with) property(X,substance_use,decrease)"
"34.0","interacts with","substance(Y) (interacts with) property(X,substance_use,decrease)","false","interacts with","substance(Y) (interacts with) property(X,substance_use,decrease)"
"159.0","interacts with","receive(X,counseling_and_education) (interacts with) property(X,substance_use,decrease)","false","interacts with","receive(X,counseling_and_education) (interacts with) property(X,substance_use,decrease)"
"158.0","interacts with","receive(X,therapeutic_alliance) (interacts with) property(X,substance_use,decrease)","false","interacts with","receive(X,therapeutic_alliance) (interacts with) property(X,substance_use,decrease)"
"14.0","interacts with","receive(X,treatment_as_usual) (interacts with) property(X,substance_use,decrease)","false","interacts with","receive(X,treatment_as_usual) (interacts with) property(X,substance_use,decrease)"
"162.0","interacts with","property(X,inject,Y) (interacts with) property(X,risky_behavior,decrease)","false","interacts with","property(X,inject,Y) (interacts with) property(X,risky_behavior,decrease)"
"34.0","interacts with","substance(Y) (interacts with) property(X,risky_behavior,decrease)","false","interacts with","substance(Y) (interacts with) property(X,risky_behavior,decrease)"
